NoteID,Deck,NoteType,SentenceCloze,Answer,FullSentenceIT,TranslationEN,Extra,SourceFile,Level,Difficulty,Tags,UpdatedAt
,,,Studio italiano ____ due anni.,da,Studio italiano da due anni.,I have been studying Italian for two years.,"DA for ongoing duration (since/for).",,B1,,,
,,,Ho studiato italiano ____ due anni.,per,Ho studiato italiano per due anni.,I studied Italian for two years.,"PER for completed duration.",,B1,,,
,,,Occhiali ____ sole sono necessari.,da,Occhiali da sole sono necessari.,Sunglasses are necessary.,"DA for purpose.",,A2,,,
,,,Una macchina ____ scrivere è antica.,da,Una macchina da scrivere è antica.,A typewriter is old.,"DA for purpose.",,B1,,,
,,,Vado ____ Maria.,con,Vado con Maria.,I go with Maria.,"CON for accompaniment.",,A1,,,
,,,Vivo ____ i miei genitori.,con,Vivo con i miei genitori.,I live with my parents.,"CON for together with.",,A2,,,
,,,Scrivo ____ la penna.,con,Scrivo con la penna.,I write with the pen.,"CON for instrument.",,A1,,,
,,,Taglio il pane ____ il coltello.,con,Taglio il pane con il coltello.,I cut the bread with the knife.,"CON for instrument.",,A2,,,
,,,Il libro è ____ tavolo.,sul,Il libro è sul tavolo.,The book is on the table.,"SU + article for surface location.",,A1,,,
,,,La borsa è ____ sedia.,sulla,La borsa è sulla sedia.,The bag is on the chair.,"SU + article (feminine).",,A1,,,
,,,I bicchieri sono ____ tavolo.,sul,I bicchieri sono sul tavolo.,The glasses are on the table.,"Surface location.",,A1,,,
,,,Un film ____ guerra può essere triste.,sulla,Un film sulla guerra può essere triste.,A film about the war can be sad.,"SU for topic/about.",,B1,,,
,,,Leggo un libro ____ Roma.,su,Leggo un libro su Roma.,I'm reading a book about Rome.,"SU for topic/about.",,B1,,,
,,,Studio un articolo ____ economia.,sull',Studio un articolo sull'economia.,I'm studying an article about economics.,"SU for topic/about.",,B2,,,
,,,Studio ____ imparare meglio.,per,Studio per imparare meglio.,I study to learn better.,"PER for purpose.",,A2,,,
,,,È un regalo ____ te.,per,È un regalo per te.,It's a gift for you.,"PER for recipient.",,A1,,,
,,,Parto ____ Berlino domani.,per,Parto per Berlino domani.,I leave for Berlin tomorrow.,"PER for destination (departing for).",,A2,,,
,,,L'ho fatto ____ amore.,per,L'ho fatto per amore.,I did it out of love.,"PER for reason/cause.",,B1,,,
,,,Resto qui ____ due giorni.,per,Resto qui per due giorni.,I stay here for two days.,"PER for duration (often planned/finite).",,B1,,,
,,,____ (in ... days) due giorni parto.,tra,Tra/Fra due giorni parto.,In two days I leave.,"TRA/FRA for future time.",,A2,,,
,,,____ (in ... hours) tre ore arrivo.,tra,Tra/Fra tre ore arrivo.,In three hours I arrive.,"TRA/FRA for future time.",,A2,,,
,,,____ (between) Roma Milano c'è Firenze.,tra,Tra/Fra Roma e Milano c'è Firenze.,Between Rome and Milan there is Florence.,"TRA/FRA for between.",,A2,,,
,,,____ (between) il 5 e il 10 sono libero.,tra,Tra/Fra il 5 e il 10 sono libero.,Between the 5th and the 10th I'm free.,"TRA/FRA for range.",,B1,,,
,,,Ci sono ____ mele sul tavolo.,delle,Ci sono delle mele sul tavolo.,There are some apples on the table.,"Partitive with feminine plural.",,A2,,,
,,,Ci sono ____ mandarini nella borsa.,dei,Ci sono dei mandarini nella borsa.,There are some mandarins in the bag.,"Partitive with masculine plural.",,A2,,,
,,,C'è ____ succo d'arancia in frigo.,del,C'è del succo d'arancia in frigo.,There is some orange juice in the fridge.,"Partitive with masculine singular.",,A2,,,
,,,"Vorrei ____ acqua, per favore.",dell',"Vorrei dell'acqua, per favore.","I'd like some water, please.","Partitive before vowel: dell'.",,A2,,,
,,,Desidera ancora ____ tiramisù?,del,Desidera ancora del tiramisù?,Would you like some more tiramisù?,"Partitive in offers/requests.",,B1,,,
,,,Non ho ____ pane.,,Non ho pane.,I don't have any bread.,"After negation, partitive usually omitted.",,A2,,,
,,,Non bevo ____ caffè.,,Non bevo caffè.,I don't drink coffee.,"After negation, omit partitive.",,A2,,,
,,,Non ho ____ soldi oggi.,,Non ho soldi oggi.,I don't have money today.,"After negation, omit partitive (general).",,A2,,,
,,,"Hai dei libri? Ne ho ____, ma non abbastanza.",alcuni,"Hai dei libri? Ne ho alcuni, ma non abbastanza.","Do you have books? I have some, but not enough.",,,B2,,,
,,,Sono vicino ____ stazione centrale.,alla,Sono vicino alla stazione centrale.,I'm near the central station.,"Double preposition + article.",,B1,,,
,,,Abito lontano ____ centro.,dal,Abito lontano dal centro.,I live far from the center.,"DA + article in common phrasing.",,B1,,,
,,,Siamo davanti ____ casa.,alla,Siamo davanti alla casa.,We are in front of the house.,,,B1,,,
,,,Lo faccio prima ____ partire.,di,Lo faccio prima di partire.,I do it before leaving.,"Double preposition: prima di + infinitive.",,B1,,,
,,,Lo faccio dopo ____ mangiato.,aver,Lo faccio dopo aver mangiato.,I do it after having eaten.,"B2 structure: dopo aver + past participle.",,B2,,,
,,,Esco senza ____ nulla.,dire,Esco senza dire nulla.,I leave without saying anything.,"B2: senza + infinitive.",,B2,,,
,,,Sono contento ____ te.,di,Sono contento di te.,I'm happy with you.,"Adjective + preposition: contento di.",,B2,,,
,,,Sono interessato ____ politica.,alla,Sono interessato alla politica.,I'm interested in politics.,"A + article with nouns.",,B2,,,
,,,Sono stanco ____ lavorare.,di,Sono stanco di lavorare.,I'm tired of working.,"Adjective + preposition: stanco di.",,B2,,,
,,,Sono pronto ____ partire.,a,Sono pronto a partire.,I'm ready to leave.,"Adjective + preposition: pronto a.",,B2,,,
,,,È capace ____ farlo.,di,È capace di farlo.,He is capable of doing it.,"Adjective + preposition: capace di.",,B2,,,
,,,La persona ____ cui parlo è gentile.,con,La persona con cui parlo è gentile.,The person I'm talking with is kind.,"Relative: con cui.",,B2,,,
,,,Il motivo ____ cui sono qui è semplice.,per,Il motivo per cui sono qui è semplice.,The reason why I'm here is simple.,"Relative: per cui.",,B2,,,
,,,Imparo ____ cucinare italiano.,a,Imparo a cucinare italiano.,I'm learning to cook Italian food.,"Verb + a: imparare a.",,B1,,,
,,,Inizio ____ studiare adesso.,a,Inizio a studiare adesso.,I start studying now.,"Verb + a: iniziare a.",,B1,,,
,,,Smetto ____ fumare oggi.,di,Smetto di fumare oggi.,I stop smoking today.,"Verb + di: smettere di.",,B1,,,
,,,Finisco ____ lavorare alle sei.,di,Finisco di lavorare alle sei.,I finish working at six.,"Verb + di: finire di.",,B1,,,
,,,Cerco ____ capire questa regola.,di,Cerco di capire questa regola.,I try to understand this rule.,"Verb + di: cercare di.",,B2,,,
,,,Decido ____ andare a Roma.,di,Decido di andare a Roma.,I decide to go to Rome.,"Verb + di: decidere di.",,B2,,,
,,,Penso ____ essere pronto.,di,Penso di essere pronto.,I think I'm ready.,"Verb + di: pensare di (intention/assumption).",,B2,,,
,,,Questo tavolo è ____ legno.,di,Questo tavolo è di legno.,This table is made of wood.,"DI for material.",,A2,,,
,,,La borsa è ____ pelle.,di,La borsa è di pelle.,The bag is made of leather.,"DI for material.",,A2,,,
,,,Ho comprato un coltello ____ cucina.,da,Ho comprato un coltello da cucina.,I bought a kitchen knife.,"DA for purpose/type.",,B1,,,
,,,Ho una crema ____ le mani.,per,Ho una crema per le mani.,I have a hand cream.,"PER often used for intended use; common pairing.",,B2,,,
,,,Andiamo ____ panetteria dopo il lavoro.,in,Andiamo in panetteria dopo il lavoro.,We go to the bakery after work.,"Shops often with in. Alla is also possible but less idiomatic. More often you might say vado dal panettiere than in panetteria.",,A2,,,
,,,Vado ____ tabaccheria.,in,Vado in tabaccheria.,I go to the tobacco shop.,"Shops often with in.",,A2,,,
,,,Vado ____ farmacia.,in,Vado in farmacia.,I go to the pharmacy.,"Shops often with in.",,A2,,,
,,,Vado ____ supermercato.,al,Vado al supermercato.,I go to the supermarket.,"Many places use a+article as destination.",,A2,,,
,,,Sono ____ supermercato adesso.,al,Sono al supermercato adesso.,I'm at the supermarket now.,"Location: al + place.",,A2,,,
,,,Sono ____ ufficio oggi.,in,Sono in ufficio oggi.,I'm at the office today.,"Institutional place: in ufficio.",,A2,,,
,,,Sono ____ letto.,a,Sono a letto.,I'm in bed.,"Fixed expression: a letto.",,A1,,,
,,,Siamo ____ tavola.,a,Siamo a tavola.,We are at the table (eating).,"Fixed expression: a tavola.",,A2,,,
,,,"Sono ____ giardino, non in casa.",in,"Sono in giardino, non in casa.","I'm in the garden, not in the house.","IN for being inside a place/area.",,A2,,,
,,,Sono ____ casa di Maria per cena.,a,Sono a casa di Maria per cena.,I'm at Maria's place for dinner.,"a casa di = at someone's place.",,B1,,,
,,,"Sono ____ casa di Maria, non ____ tenda.",nella,"Sono nella casa di Maria, non nella tenda.","I'm inside Maria's house, not in the tent.",Physical interior contrast.,,B2,,,
,,,"Sono ____ (inside) casa, non in giardino.",in,"Sono in casa, non in giardino.","I'm inside the house, not in the garden.","IN casa = inside (contrast).",,B2,,,
,,,Ci vediamo ____ otto.,alle,Ci vediamo alle otto.,See you at eight.,Clock time uses alle + plural hour.,,A1,,,
,,,La lezione inizia ____ nove.,alle,La lezione inizia alle nove.,The lesson starts at nine.,Clock time rule.,,A1,,,
,,,Parto ____ una.,all',Parto all'una.,I leave at one.,Singular hour uses all'una.,,A1,,,
,,,Arrivo ____ sette e mezza.,alle,Arrivo alle sette e mezza.,I arrive at half past seven.,Minutes do not change the preposition.,,A2,,,
,,,Il treno parte ____ 14:30.,alle,Il treno parte alle 14:30.,The train leaves at 14:30.,24-hour format still uses alle.,,A2,,,
,,,Ci sentiamo ____ mezzanotte.,a,Ci sentiamo a mezzanotte.,We'll talk at midnight.,Exception: mezzanotte uses a (not alle).,,A2,,,
,,,La festa finisce ____ mezzogiorno.,a,La festa finisce a mezzogiorno.,The party ends at noon.,Exception: mezzogiorno uses a.,,A2,,,
,,,Lavoro ____ due.,alle,Lavoro alle due.,I work at two.,Plural hour rule.,,A1,,,
,,,Siamo arrivati ____ tre e un quarto.,alle,Siamo arrivati alle tre e un quarto.,We arrived at quarter past three.,Quarter expressions keep alle.,,B1,,,
,,,La riunione è ____ dieci meno cinque.,alle,La riunione è alle dieci meno cinque.,The meeting is at five to ten.,“meno” does not change preposition.,,B1,,,
,,,Penso ____ aver capito.,di,Penso di aver capito.,I think I've understood.,Pensare di = think that.,,C1,,,
,,,Parlo ____ Maria spesso.,di,Parlo di Maria spesso.,I often speak about Maria.,Parlare di = speak about.,,C1,,,
,,,Ho finito ____ leggere il libro.,di,Ho finito di leggere il libro.,I finished reading the book.,Finire di = finish doing.,,C1,,,
,,,Ha finito ____ accettare la proposta.,per,Ha finito per accettare la proposta.,He ended up accepting the proposal.,Finire per = end up doing.,,C1,,,
,,,Credo ____ ciò che mi dici.,a,Credo a ciò che mi dici.,I believe what you tell me.,Credere a = believe something.,,C1,,,
,,,Credo ____ Dio.,in,Credo in Dio.,I believe in God.,Credere in = believe in (faith/trust).,,C1,,,
,,,Dipende ____ te.,da,Dipende da te.,It depends on you.,Dipendere da.,,B2,,,
,,,Sono ____ scuola.,a,Sono a scuola.,I'm at school.,Role/activity meaning.,,C1,,,
,,,Sono ____ (inside) nuova scuola.,nella,Sono nella nuova scuola.,I'm inside the new school building.,Specific building.,,C1,,,
,,,Vivo ____ città.,in,Vivo in città.,I live in the city.,Abstract urban concept.,,C1,,,
,,,Sono ____ chiesa.,in,Sono in chiesa.,I'm in church (religious context).,Institutional/religious function.,,C1,,,
,,,Sono ____ chiesa del centro.,nella,Sono nella chiesa del centro.,I'm inside the church in the center.,Specific building.,,C1,,,
,,,Sono ____ letto.,a,Sono a letto.,I'm in bed.,State.,,C1,,,
,,,Il gatto è ____ letto.,nel,Il gatto è nel letto.,The cat is in the bed.,Physical location.,,C1,,,
,,,La città ____ cui vivo è piccola.,in,La città in cui vivo è piccola.,The city where I live is small.,Relative + preposition.,,C1,,,
,,,Il motivo ____ cui sono qui è semplice.,per,Il motivo per cui sono qui è semplice.,The reason why I'm here is simple.,Relative + preposition.,,C1,,,
,,,È qualcosa ____ cui andare fieri.,di,È qualcosa di cui andare fieri.,It's something to be proud of.,Di cui construction.,,C1,,,
,,,È un problema ____ cui riflettere.,su,È un problema su cui riflettere.,It's a problem to reflect on.,Su cui construction.,,C1,,,
,,,"Prima ____ partire, chiama tua madre.",di,"Prima di partire, chiama tua madre.","Before leaving, call your mother.",Preposition + infinitive.,,C1,,,
,,,"____ aver mangiato, siamo usciti.",Dopo,"Dopo aver mangiato, siamo usciti.","After having eaten, we went out.",Dopo aver + past participle.,,C1,,,
,,,"____ dire nulla, è andato via.",Senza,"Senza dire nulla, è andato via.","Without saying anything, he left.",Senza + infinitive.,,C1,,,
